FAMILIA;TAMAÑO;PLANIFICACIÓN;MAE_XGB;MAE_PLANNER;N;MEJORA_XGB;MODELO_ELEGIDO
AIO;45' - 56';CIERRE DE CUADROS Y PENDIENTES ELECTRICOS;7,139283180236816;19,0;2;11,860716819763184;xgboost
PM;50' - 56';PERFILERIA EXTERIOR;13,240310410090855;25,014285714285712;7;11,773975304194858;xgboost
AIO;45' - 56';LIMPIEZA FINAL;22,158245086669922;33,833333333333336;3;11,675088246663414;xgboost
PM;50' - 56';INSTALACION ROXTEC;22,389675794328962;33,75714285714286;7;11,367467062813898;xgboost
AIO;20' - 40';CIERRE DE CUADROS Y PENDIENTES MECANICOS;11,32597049077352;22,333333333333332;3;11,007362842559813;xgboost
SKID;20' - 45';INSTALACION DE UTP;9,91495450337728;20,333333333333332;3;10,418378829956051;xgboost
PM;50' - 56';SISTEMA DE ILUMINACION/EMERGENCIAS;10,70547708783831;20,942857142857143;7;10,237380055018834;xgboost
DH;2u-4u;INSTALACION DE SENALES;2,281543731689453;12,5;1;10,218456268310549;xgboost
DH;2u-4u;CORTE Y ENSAMBLAJE DE CARRILES Y BANDEJAS;19,402305603027344;29,5;1;10,097694396972656;xgboost
PM;20' - 45';MECANIZADO DE ELEMENTOS DE INSTALACION ELECTRICA;18,98282023838588;29,071428571428573;7;10,088608333042693;xgboost
SKID;20' - 45';INSTALACION DE SENALES;10,090580622355143;20,0;3;9,909419377644856;xgboost
PM;20' - 45';TORQUEO;13,15073549747467;22,75;8;9,59926450252533;xgboost
MO;BD3;REPASOS DE PINTURA;15,438844680786133;25,0;1;9,561155319213867;xgboost
AIO;20' - 40';MECANIZADO DE ELEMENTOS DE INSTALACION MECANICA;19,139899571736652;28,5;3;9,360100428263348;xgboost
AIO;20' - 40';MONTAJE DE TUBERIAS;14,08046785990397;23,0;3;8,91953214009603;xgboost
SKID;20' - 45';CORTE Y ENSAMBLAJE DE CARRILES Y BANDEJAS;17,14057985941569;25,833333333333332;3;8,69275347391764;xgboost
DH;2u-4u;PRUEBAS ELECTRICAS SIN TENSION;6,471208572387695;15,0;1;8,528791427612305;xgboost
PM;20' - 45';CERRAMIENTO DE ALUMINIO;18,559865134102957;26,857142857142858;7;8,297277723039901;xgboost
MO;BD1;INTRODUCCION/FIJACION DE EQUIPOS;5,730079650878906;14,0;1;8,269920349121094;xgboost
SKID;20' - 45';MONTAJE DE TUBERIAS;26,0;34,0;2;8,0;xgboost
PM;20' - 45';ENSAMBLAJE DE CUADROS CUADRISTA;13,487355504717145;21,285714285714285;7;7,798358780997139;xgboost
AIO;45' - 56';REALIZACION DE PRUEBAS COOLING;5,407990455627441;12,5;2;7,092009544372559;xgboost
MO;BD3;MECANIZADO DE ELEMENTOS DE INSTALACION ELECTRICA;11,973438262939453;19,0;1;7,026561737060547;xgboost
PM;20' - 45';SISTEMA DE ILUMINACION/EMERGENCIAS;11,288015638078962;18,285714285714285;7;6,997698647635323;xgboost
SKID;20' - 45';CIERRE DE CUADROS Y PENDIENTES ELECTRICOS;11,435245513916016;18,333333333333332;3;6,8980878194173165;xgboost
MO;BD3;CORTE Y/O PREPARACION DE CABLE;4,1334686279296875;11,0;1;6,8665313720703125;xgboost
AIO;20' - 40';INSTALACION DE ELEMENTOS Y/O EQUIPOS;25,300464630126953;32,166666666666664;3;6,866202036539711;xgboost
DH;2u-4u;TRABAJOS DE INSTALACION PCI;5,182804107666016;12,0;1;6,817195892333984;xgboost
AIO;20' - 40';EMBALAJE;2,2334182262420654;9,0;2;6,766581773757935;xgboost
AIO;20' - 40';PERFILERIA EXTERIOR;12,742097854614258;19,5;2;6,757902145385742;xgboost
AIO;20' - 40';ENSAMBLAJE DE CUADROS CUADRISTA;6,742886543273926;13,5;2;6,757113456726074;xgboost
PM;20' - 45';PERFILERIA EXTERIOR;14,538707460675921;21,285714285714285;7;6,747006825038364;xgboost
AIO;20' - 40';ENSAMBLAJE DE EQUIPOS (CUADRO PRINCIPAL Y UPS);10,344402313232422;17,0;1;6,655597686767578;xgboost
MO;BD1;INSTALACION DE BANDEJAS;1,4070167541503906;8,0;1;6,592983245849609;xgboost
PM;50' - 56';INSTALACION DE ELEMENTOS Y/O EQUIPOS;18,981783730643137;25,357142857142858;7;6,3753591264997205;xgboost
DH;2u-4u;CIERRE DE CUADROS Y PENDIENTES ELECTRICOS;4,010387420654297;10,25;1;6,239612579345703;xgboost
PM;20' - 45';DESENSAMBLAJE INSTALACION ELECTRICA;1,0;7,0;2;6,0;xgboost
SKID;20' - 45';EMBALAJE;6,961463292439778;12,833333333333334;3;5,871870040893556;xgboost
DH;2u-4u;CONTROL DE ACCESO;4,697566032409668;10,5;1;5,802433967590332;xgboost
PM;20' - 45';INSTALACION DE UTP;7,0618336995442705;12,833333333333334;3;5,771499633789063;xgboost
DH;2u-4u;EMBALAJE;0,27516746520996094;6,0;1;5,724832534790039;xgboost
AIO;20' - 40';PRUEBAS ELECTRICAS SIN TENSION;8,796188354492188;14,5;2;5,7038116455078125;xgboost
PM;20' - 45';LIMPIEZA FINAL CUADROS;2,358407974243164;8,0;3;5,641592025756836;xgboost
DH;2u-4u;CONEXIONADO DE EQUIPOS;32,36079406738281;38,0;1;5,639205932617188;xgboost
SKID;20' - 45';CONEXIONADO DE EQUIPOS;28,753824869791668;34,333333333333336;3;5,579508463541668;xgboost
MO;BD1;CADENAS PORTACABLES;3,4566097259521484;9,0;1;5,543390274047852;xgboost
MO;BD1;INSTALACION CARRILES DE SOPORTACION;5,469032287597656;11,0;1;5,530967712402344;xgboost
AIO;20' - 40';SISTEMA DE ILUMINACION/EMERGENCIAS;10,832492192586264;16,333333333333332;3;5,5008411407470685;xgboost
PM;50' - 56';TRABAJOS DE FORRADO DE TUBERIAS;2,805430006980896;8,2;2;5,394569993019103;xgboost
DH;2u-4u;PRUEBAS ELECTRICAS CON TENSION;1,8698444366455078;7,25;1;5,380155563354492;xgboost
SKID;20' - 45';CONTROL DE ACCESO;9,838200569152832;15,0;2;5,161799430847168;xgboost
MO;BD1;REALIZACION DE PRUEBAS COOLING;3,8413658142089844;9,0;1;5,158634185791016;xgboost
PM;20' - 45';INSTALACION CARRILES DE SOPORTACION;36,86273527145386;42,0;8;5,137264728546143;xgboost
PM;20' - 45';PRUEBAS ELECTRICAS SIN TENSION;17,48540711402893;22,4375;8;4,952092885971069;xgboost
AIO;45' - 56';ETIQUETADO DE CABLE Y EQUIPOS;3,6661338806152344;8,5;2;4,833866119384766;xgboost
MO;BD1;REALIZACION DE PRUEBAS PCI;1,2912673950195312;6,0;1;4,708732604980469;xgboost
SKID;20' - 45';LIMPIEZA FINAL;39,62906010945638;44,333333333333336;3;4,704273223876953;xgboost
DH;2u-4u;SISTEMA DE TIERRAS;18,352333068847656;23,0;1;4,647666931152344;xgboost
AIO;20' - 40';LIMPIEZA FINAL;19,41233189900716;24,0;3;4,58766810099284;xgboost
MO;BD1;INSTALACION DE PUERTAS;0,49724388122558594;5,0;1;4,502756118774414;xgboost
AIO;45' - 56';NIVELACION;9,626018842061361;14,0;3;4,373981157938639;xgboost
SKID;20' - 45';REPASOS DE PINTURA;10,334476470947266;14,666666666666666;3;4,3321901957194;xgboost
AIO;45' - 56';EMBALAJE;12,18827199935913;16,25;2;4,061728000640869;xgboost
AIO;20' - 40';INTRODUCCION/FIJACION DE EQUIPOS;21,292002360026043;25,333333333333332;3;4,041330973307289;xgboost
PM;50' - 56';ENSAMBLAJE DE EQUIPOS (CUADRO PRINCIPAL Y UPS);17,0;21,0;4;4,0;xgboost
AIO;45' - 56';INSTALACION DE CABLE;15,782257080078125;19,666666666666668;3;3,884409586588543;xgboost
DH;2u-4u;CERRAMIENTO DE ALUMINIO;2,2626476287841797;6,0;1;3,73735237121582;xgboost
PM;20' - 45';MECANIZADO DE ELEMENTOS DE INSTALACION MECANICA;13,924387795584542;17,642857142857142;7;3,7184693472726007;xgboost
AIO;20' - 40';CONTROL DE ACCESO;1,3078553676605225;5,0;2;3,6921446323394775;xgboost
PM;50' - 56';TRABAJOS DE CONEXIONADO Y VALVULERIA;1,2312503814697262;4,9;2;3,668749618530274;xgboost
DH;2u-4u;INSTALACION DE BANDEJAS;25,332786560058594;29,0;1;3,6672134399414062;xgboost
PM;20' - 45';REALIZACION DE PRUEBAS COOLING;1,871558427810669;5,5;2;3,628441572189331;xgboost
PM;20' - 45';TRANSFORMADOR;0,9884412288665771;4,5;2;3,511558771133423;xgboost
MO;BD3;TRABAJOS DE INSTALACION PCI;44,117347717285156;47,5;2;3,382652282714844;xgboost
AIO;20' - 40';ETIQUETADO DE CABLE Y EQUIPOS;4,640030860900879;8,0;2;3,359969139099121;xgboost
MO;BD3;INSTALACION DE SENALES;23,659971237182617;27,0;2;3,340028762817383;xgboost
SKID;20' - 45';INSTALACION ROXTEC;7,030641237894694;10,333333333333334;3;3,30269209543864;xgboost
PM;20' - 45';PRUEBAS ELECTRICAS CON TENSION;6,356273055076599;9,5;4;3,143726944923401;xgboost
SKID;20' - 45';NIVELACION;6,5;9,5;2;3,0;xgboost
PM;20' - 45';MONTAJE DE TUBERIAS;15,353288014729818;18,333333333333332;6;2,980045318603514;xgboost
MO;BD1;NIVELACION;4,0440673828125;7,0;1;2,9559326171875;xgboost
SKID;20' - 45';DESENSAMBLAJE INSTALACION MECANICA;0,1710507869720459;3,0;1;2,828949213027954;xgboost
PM;50' - 56';MECANIZADO DE ELEMENTOS DE INSTALACION MECANICA;27,66940394810268;30,485714285714288;7;2,816310337611608;xgboost
PM;20' - 45';INSTALACION DE SUELO;9,69894802570343;12,4375;8;2,73855197429657;xgboost
MO;BD1;PRUEBAS ELECTRICAS SIN TENSION;1,2652034759521484;4,0;1;2,734796524047852;xgboost
MO;BD1;CONTROL DE ACCESO;4,836702346801758;7,5;1;2,663297653198242;xgboost
MO;BD1;PRUEBAS ELECTRICAS CON TENSION;4,384984016418457;7,0;1;2,615015983581543;xgboost
PM;20' - 45';ETIQUETADO DE CABLE Y EQUIPOS;10,60077362060547;13,2;5;2,59922637939453;xgboost
PM;20' - 45';NIVELACION;7,61188530921936;10,1875;8;2,57561469078064;xgboost
MO;BD3;PRUEBAS ELECTRICAS SIN TENSION;23,013816833496094;25,5;2;2,4861831665039062;xgboost
SKID;20' - 45';INSTALACION DE SUELO;5,049441337585449;7,5;3;2,450558662414551;xgboost
PM;20' - 45';LIMPIEZA FINAL;20,26289987564087;22,625;8;2,362100124359131;xgboost
PM;50' - 56';CORTE Y/O PREPARACION DE CABLE;15,10138397216797;17,4;5;2,298616027832029;xgboost
PM;50' - 56';CIERRE DE CUADROS Y PENDIENTES ELECTRICOS;35,551104125976565;37,760000000000005;5;2,2088958740234403;xgboost
SKID;20' - 45';ENSAMBLAJE DE CUADROS CUADRISTA;3,8363351821899414;6,0;3;2,1636648178100586;xgboost
PM;50' - 56';REALIZACION DE PRUEBAS COOLING;17,270199918746947;19,4;1;2,129800081253052;xgboost
AIO;20' - 40';LIMPIEZA FINAL CUADROS;5,4901652336120605;7,5;2;2,0098347663879395;xgboost
SKID;20' - 45';SOPORTE A COMMISSIONING;4,04185167948405;6,0;3;1,9581483205159504;xgboost
DH;2u-4u;NIVELACION;9,331050872802734;11,25;1;1,9189491271972656;xgboost
AIO;20' - 40';INSTALACION DE UTP;18,616114616394043;20,5;2;1,883885383605957;xgboost
DH;2u-4u;INSTALACION DE SUELO;17,385526657104492;19,0;1;1,6144733428955078;xgboost
PM;20' - 45';INSTALACION DE SENALES;8,485065142313639;10,083333333333334;6;1,5982681910196952;xgboost
PM;50' - 56';INSTALACION DE SENALES;17,779233952311724;19,360064935064937;7;1,5808309827532128;xgboost
MO;BD3;MONTAJE DE TUBERIAS;15,932764053344727;17,5;2;1,5672359466552734;xgboost
PM;50' - 56';NIVELACION;13,987867593765259;15,5;4;1,5121324062347412;xgboost
MO;BD1;CONEXIONADO DE EQUIPOS;8,525123596191406;10,0;1;1,4748764038085938;xgboost
PM;50' - 56';INSTALACION DE PUERTAS;14,775943756103516;16,2;5;1,4240562438964837;xgboost
SKID;20' - 45';CIERRE DE CUADROS Y PENDIENTES MECANICOS;8,268089294433594;9,666666666666666;3;1,3985773722330723;xgboost
AIO;20' - 40';SISTEMA DE TIERRAS;15,14567756652832;16,5;2;1,3543224334716797;xgboost
MO;BD1;SISTEMA DE TIERRAS;2,6646499633789062;4,0;1;1,3353500366210938;xgboost
SKID;20' - 45';DESENSAMBLAJE INSTALACION ELECTRICA;1,817244529724121;3,0;1;1,182755470275879;xgboost
SKID;20' - 45';TRABAJOS DE BT EN MT;1,838146686553955;3,0;1;1,161853313446045;xgboost
PM;50' - 56';ENSAMBLAJE DE CUADROS CUADRISTA;25,17731539408366;26,333333333333332;6;1,156017939249672;xgboost
DH;2u-4u;MONTAJE DE EQUIPOS DE MONITORIZACION;10,37051010131836;11,5;1;1,1294898986816406;xgboost
SKID;20' - 45';INTRODUCCION/FIJACION DE EQUIPOS;11,281397501627604;12,333333333333334;3;1,0519358317057304;xgboost
MO;BD3;LIMPIEZA FINAL;12,9976806640625;14,0;1;1,0023193359375;xgboost
PM;20' - 45';REPASOS DE PINTURA;4,25;5,25;4;1,0;xgboost
PM;20' - 45';TRABAJOS DE MEDIA TENSION;3,04494571685791;4,0;1;0,9550542831420898;xgboost
PM;20' - 45';INSTALACION DE PUERTAS;9,839065313339233;10,75;8;0,9109346866607666;xgboost
AIO;20' - 40';REALIZACION DE PRUEBAS COOLING;1,0921635627746582;2,0;1;0,9078364372253418;xgboost
AIO;20' - 40';REALIZACION DE PRUEBAS PCI;4,671689510345459;5,5;2;0,828310489654541;xgboost
MO;BD1;CIERRE DE CUADROS Y PENDIENTES ELECTRICOS;4,179470062255859;5,0;1;0,8205299377441406;xgboost
MO;BD1;INSTALACION DE SENALES;14,306884765625;15,0;1;0,693115234375;xgboost
PM;50' - 56';CIERRE DE CUADROS Y PENDIENTES MECANICOS;5,4119282313755575;6,085714285714286;7;0,6737860543387288;xgboost
PM;50' - 56';SOPORTE A COMMISSIONING;10,678223292032877;11,333333333333334;3;0,6551100413004569;xgboost
AIO;20' - 40';INSTALACION ROXTEC;6,408286412556966;7,0;3;0,5917135874430342;xgboost
AIO;20' - 40';CORTE Y/O PREPARACION DE CABLE;4,16738224029541;4,75;2;0,5826177597045898;xgboost
SKID;20' - 45';INSTALACION CARRILES DE SOPORTACION;26,17340342203776;26,666666666666668;3;0,4932632446289062;xgboost
PM;50' - 56';PRUEBAS ELECTRICAS SIN TENSION;18,09522883097331;18,583333333333332;6;0,4881045023600237;xgboost
AIO;20' - 40';SOPORTE A COMMISSIONING;4,553937911987305;5,0;2;0,4460620880126953;xgboost
SKID;20' - 45';ENSAMBLAJE DE EQUIPOS (CUADRO PRINCIPAL Y UPS);2,225199540456136;2,6666666666666665;3;0,4414671262105303;xgboost
SKID;20' - 45';SISTEMA DE TIERRAS;8,252516428629557;8,666666666666666;3;0,4141502380371094;xgboost
AIO;20' - 40';DESENSAMBLAJE INSTALACION ELECTRICA;8,091730833053589;8,5;2;0,4082691669464111;xgboost
PM;20' - 45';CIERRE DE CUADROS Y PENDIENTES ELECTRICOS;16,98247718811035;17,3125;8;0,3300228118896484;xgboost
PM;50' - 56';TORQUEO;17,50467348098755;17,75;4;0,2453265190124511;xgboost
PM;20' - 45';CIERRE DE CUADROS Y PENDIENTES MECANICOS;5,660213947296143;5,875;8;0,2147860527038574;xgboost
PM;20' - 45';ENSAMBLAJE DE EQUIPOS (CUADRO PRINCIPAL Y UPS);11,04564380645752;11,25;6;0,2043561935424804;xgboost
PM;20' - 45';TRABAJOS PREVIOS MECANICOS;5,0;5,0;2;0,0;xgboost
DH;2u-4u;CORTE Y/O PREPARACION DE CABLE;17,09473419189453;17,0;1;-0,0947341918945312;patron
PM;20' - 45';TRABAJOS DE INSTALACION PCI;8,11980492728097;8,0;7;-0,1198049272809704;patron
AIO;45' - 56';PRUEBAS ELECTRICAS CON TENSION;15,837464650472006;15,666666666666666;3;-0,1707979838053397;patron
AIO;45' - 56';TRABAJOS DE CONEXIONADO Y VALVULERIA;9,737578392028809;9,5;2;-0,2375783920288086;patron
AIO;20' - 40';REPASOS DE PINTURA;3,3471221923828125;3,0;1;-0,3471221923828125;patron
MO;BD1;SISTEMA DE ILUMINACION/EMERGENCIAS;3,381458282470703;3,0;1;-0,3814582824707031;patron
PM;20' - 45';CORTE Y/O PREPARACION DE CABLE;32,552251543317524;32,142857142857146;7;-0,4093944004603784;patron
DH;2u-4u;TRABAJOS DE CONEXIONADO Y VALVULERIA;5,550146102905273;5,0;1;-0,5501461029052734;patron
AIO;20' - 40';INSTALACION DE PUERTAS;16,292419751485188;15,666666666666666;3;-0,6257530848185215;patron
PM;20' - 45';EMBALAJE;10,643803914388021;10,0;3;-0,6438039143880214;patron
SKID;20' - 45';SISTEMA DE ILUMINACION/EMERGENCIAS;8,698269526163736;7,833333333333333;3;-0,8649361928304033;patron
MO;BD3;CERRAMIENTO DE ALUMINIO;22,47882652282715;21,5;2;-0,9788265228271484;patron
PM;20' - 45';SOPORTE A COMMISSIONING;8,243793760027204;7,214285714285714;7;-1,0295080457414896;patron
MO;BD1;INSTALACION ROXTEC;9,04229736328125;8,0;1;-1,04229736328125;patron
AIO;20' - 40';CORTE Y ENSAMBLAJE DE CARRILES Y BANDEJAS;7,468013763427734;6,333333333333333;3;-1,1346804300944011;patron
PM;20' - 45';CONTROL DE ACCESO;4,828539073467255;3,6666666666666665;6;-1,161872406800588;patron
PM;20' - 45';SISTEMA DE TIERRAS;10,530505044119698;9,357142857142858;7;-1,1733621869768402;patron
MO;BD1;ENSAMBLAJE DE CUADROS CUADRISTA;2,341092586517334;1,0;1;-1,341092586517334;patron
