PLANIFICACIÓN;Horas_Patron;FAMILIA;TAMAÃ‘O
TRABAJOS DE INSTALACION PCI;37.0;AIO;45' - 56'
REALIZACION DE PRUEBAS PCI;8.0;AIO;45' - 56'
R-QP05-27 Door Fan Test;1.0;AIO;45' - 56'
R-QP05-04 Acceptance of Installations. FSS;1.0;AIO;45' - 56'
R-QP05-18 Acceptance of Installations. Assembly;3.0;AIO;45' - 56'
MONTAJE DE TUBERIAS;86.0;AIO;45' - 56'
TRABAJOS DE CONEXIONADO Y VALVULERIA;7.0;AIO;45' - 56'
TRABAJOS DE FORRADO DE TUBERIAS;8.0;AIO;45' - 56'
REALIZACION DE PRUEBAS COOLING;6.0;AIO;45' - 56'
R-QP05-05 Acceptance of Installations. Cooling;1.0;AIO;45' - 56'
TRASLADO Y UBICACION EN ZONA CX;8.0;AIO;45' - 56'
TESTEO Cx;45.0;AIO;45' - 56'
UPS START UP;;AIO;45' - 56'
FAT/FOK/Witness test;;AIO;45' - 56'
TRASLADO Y UBICACION EN ZONA PRODUCCION.;8.0;AIO;45' - 56'
MODIFICACIONES FAT/FOK/WITNESS TEST ;30.0;AIO;45' - 56'
R-QP05-03 QC 100% MDC;1.0;AIO;45' - 56'
DESENSAMBLAJE INSTALACION ELECTRICA;0.0;AIO;45' - 56'
DESENSAMBLAJE INSTALACION MECANICA;1.0;AIO;45' - 56'
LIMPIEZA FINAL CUADROS;15.0;AIO;45' - 56'
R-QP05-29 Outgoing electrical panel visual inspection;2.0;AIO;45' - 56'
CIERRE DE CUADROS Y PENDIENTES ELECTRICOS;33.0;AIO;45' - 56'
CIERRE DE CUADROS Y PENDIENTES MECANICOS;19.0;AIO;45' - 56'
LIMPIEZA FINAL;43.0;AIO;45' - 56'
REPASOS DE PINTURA;10.0;AIO;45' - 56'
R-QP05-02 Pre Shipment Inspection MDC;2.0;AIO;45' - 56'
R-QP05-24 Authorization for the release of the solutions;1.0;AIO;45' - 56'
EMBALAJE;24.0;AIO;45' - 56'
TRABAJOS PREVIOS MECANICOS;10.0;DH;2u-4u
CORTE Y ENSAMBLAJE DE CARRILES Y BANDEJAS;54.0;DH;2u-4u
NIVELACION;19.0;DH;2u-4u
INSTALACION CARRILES DE SOPORTACION;60.0;DH;2u-4u
INSTALACION DE BANDEJAS;172.0;DH;2u-4u
MECANIZADO DE ELEMENTOS DE INSTALACION MECANICA;41.0;DH;2u-4u
EQUIPOS;;DH;2u-4u
INTRODUCCION/FIJACION de EQUIPOS;94.0;DH;2u-4u
ENSAMBLAJE DE CUADROS CUADRISTA;30.0;DH;2u-4u
ENSAMBLAJE DE EQUIPOS (CUADRO PRINCIPAL Y UPS);8.0;DH;2u-4u
CADENAS PORTACABLES;8.0;DH;2u-4u
INSTALACION DE SUELO;21.0;DH;2u-4u
PANELADO;9.0;DH;2u-4u
MODIFICACIONES EN PANEL;;DH;2u-4u
R-QP05-12 Pre-Installation of doors;1.0;DH;2u-4u
INSTALACION  DE PUERTAS;8.0;DH;2u-4u
INSTALACION ROXTEC;30.0;DH;2u-4u
INSTALACION DE ELEMENTOS Y/O EQUIPOS;19.0;DH;2u-4u
CERRAMIENTO DE ALUMINIO;21.0;DH;2u-4u
PERFILERIA EXTERIOR;50.0;DH;2u-4u
R-QP05-28 Prefabricated Module Roof Inspection;1.0;DH;2u-4u
CORTE Y/O PREPARACION DE CABLE;45.0;DH;2u-4u
